vl_site;vl_year;year;use;url;uid;title;author;anchor
"Narva";"1958";"1953";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=206133";"ra.ee=ERA.T-6.5.2 leht 15";"	Eesti topograafiline kaart ENSV Ülemnõukogu Presiidiumi tehtud parandustega (1:100 000). Генеральный штаб советской армии 0-35-21 (Нарва) РСФСР Лен. обл. и Эстонская ССР Таллинская область";"A. Strogova";"1953";
"Narva";"1958";"1958";"P";"https://fotoladu.maaamet.ee/arhiiv=202166";"ID=С-59-30-В-б-3 (174)";"(Narva õhuvõte Maaameti fotolaost)";"Всесоюзный Институт Селскохозяинственных Аерофотогеодезических Изысканий МСХ СССР";"1958_174";
"Narva";"1958";"1958";"P";"https://fotoladu.maaamet.ee/arhiiv=202167";"ID=С-59-30-В-б-4 (175)";"(Narva õhuvõte Maaameti fotolaost)";"Всесоюзный Институт Селскохозяинственных Аерофотогеодезических Изысканий МСХ СССР";"1958_175";
"Narva";"1958";"1958";"P";"https://fotoladu.maaamet.ee/arhiiv=202161";"ID=С-59-30-В-г-1 (274)";"(Narva õhuvõte Maaameti fotolaost)";"Всесоюзный Институт Селскохозяинственных Аерофотогеодезических Изысканий МСХ СССР";"1958_274";
"Narva";"1958";"1958";"P";"https://fotoladu.maaamet.ee/arhiiv=202162";"ID=С-59-30-В-г-2 (275)";"(Narva õhuvõte Maaameti fotolaost)";"Всесоюзный Институт Селскохозяинственных Аерофотогеодезических Изысканий МСХ СССР";"1958_275";
"Narva";"1958";"1958";"P";"https://fotoladu.maaamet.ee/arhiiv=202163";"ID=С-59-30-Г-в-1 (276)";"(Narva õhuvõte Maaameti fotolaost)";"Всесоюзный Институт Селскохозяинственных Аерофотогеодезических Изысканий МСХ СССР";"1958_276";
"Narva";"1964";"1964";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=104568";"ra.ee=ERA.T-14.4-6.33862 leht 1";"Narva linna generaalplaan. Tugiplaan";"";"1964";
"Narva";"1686";"19XX";"D";"http://www.ra.ee/kaardid/index.php/et/map/view?id=211616";"ra.ee=EAA.1646.1.2637 leht 18";"Erik Dahlbergi koostatud Narva uue kindluse plaan.";"Erik Dahlberg";"19XX";
"Narva-Joesuu";"1861";"1861";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=19199";"ra.ee=EAA.3724.5.1550 leht 1";"Special Charte der zum Narwaschen Stadts Gute Kutterküll an der Mündung der Narowa belegenem Vorhafen Hungerburg mit den Fabricen und Bestzlichkeit der Einwohner";"Johann Heinrich Schmidt";"1861";
"Narva-Joesuu";"1873";"1873";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=4879";"ra.ee=EAA.849.2.272 leht 1";"Plan von Hungerburg.";"Heinrich Ebrock";"1873";
"Narva-Joesuu";"1880";"1880";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=17178";"ra.ee=EAA.849.2.273 leht 1";"Karte von der Narowa Mündung belegenen Hafenorte Hungerburg-Port-Narwa und einem Theile des Badeortes Bad-Narwa";"Heinrich Ebrock";"1880";
"Narva-Joesuu";"1887";"1887";"P";"https://www.digar.ee/arhiiv/nlib-digar:44939";"isbn=9789949539796";"План Усть-Наровы";"Е. Эброк";"1887";
"Narva-Joesuu";"1895";"1895";"P";"";"isbn=978-9949-654-67-3";"VIIIc-24 [Vaivara] : Ямбург. и Везенберг. уезд. С-Петербург. и Эстлянд. губ[ерний]";"Корпус Военных Топографов";"1895";
"Narva-Joesuu";"";"1905";"C";"http://www.ra.ee/kaardid/index.php/et/map/view?id=229189";"ra.ee=LVVA.6828.4.541 leht 1";"Плань окрестностей г. Нарвы и курорта Усть-Наровы (Гунгенбург, Шмецке и Мерекюль)";"";"";
"Narva-Joesuu";"1905";"1905";"P";"https://www.digar.ee/arhiiv/nlib-digar:289479";"isbn=978-9949-595-14-3";"План курорта Усть-Наровы (Гунгербурга и Шмецке) : Эстляндской губернии Везенбергскаго уезда";"Генрих Эброк";"1905";
"Narva-Joesuu";"";"1912";"C";"https://www.digar.ee/arhiiv/et/pildimaterjal/101961";"isbn=978-9949-654-67-3";"VIIIc-24 [Vaivara] : Ямбург. и Везенберг. уезд. С-Петербург. и Эстлянд. губ[ерний]";"Корпус Военных Топографов";"";
"Narva-Joesuu";"1919";"1919";"P";"https://www.digar.ee/arhiiv/et/pildimaterjal/70856";"isbn=978-9949-598-07-6";"III-45,46 Narva jõe suudmeala";"Eesti Sõjavägi, Topograafia jaoskond";"1919";
"Narva-Joesuu";"1923";"1923";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=100483";"ra.ee=ERA.T-6.3.106 leht 1";"Eesti topograafiline kaart 1:25000, III-45, Virumaa";"N. Subbotin";"1923";
"Narva-Joesuu";"1923K";"1923";"P";"https://www.digar.ee/arhiiv/nlib-digar:73175";"isbn=9789949263219";"Viru suvitusrannast";"K. Mattiesen";"1923";
"Narva-Joesuu";"193X";"193X";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=279022";"ra.ee=EAA.5238.1.711 leht 1";"Narva-Jõesuu plaan";"T.E.K.Ü. Lit";"193X";
"Narva-Joesuu";"1951";"1951";"P";"https://fotoladu.maaamet.ee/arhiiv=195331";"ID=4337";"(Narva-Jõesuu õhuvõte Maa-ameti fotolaost)";"Министерство сельского хозяйства СССР всесоюзная контора ""Сельхозаэросьемка"" северо-западное предприятие";"1951_4337";
"Narva-Joesuu";"1951";"1951";"P";"https://fotoladu.maaamet.ee/arhiiv=195332";"ID=4338";"(Narva-Jõesuu õhuvõte Maa-ameti fotolaost)";"Министерство сельского хозяйства СССР всесоюзная контора ""Сельхозаэросьемка"" северо-западное предприятие";"1951_4338";
"Narva-Joesuu";"1951";"1951";"P";"https://fotoladu.maaamet.ee/arhiiv=195415";"ID=4437";"(Narva-Jõesuu õhuvõte Maa-ameti fotolaost)";"Министерство сельского хозяйства СССР всесоюзная контора ""Сельхозаэросьемка"" северо-западное предприятие";"1951_4437";
"Narva-Joesuu";"1951";"1951";"P";"https://fotoladu.maaamet.ee/arhiiv=195416";"ID=4438";"(Narva-Jõesuu õhuvõte Maa-ameti fotolaost)";"Министерство сельского хозяйства СССР всесоюзная контора ""Сельхозаэросьемка"" северо-западное предприятие";"1951_4438";
"Narva-Joesuu";"1968";"1968";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=104690";"ra.ee=ERA.T-14.4-6.33724 leht 1";"Narva-Jõesuu generaalplaan";"Tallo";"1968";
"Narva-Jõesuu";"";"1918";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=102153";"ERA. T-6.3.264";"Hungerburg1:25000";"Vermessungsabteilung 18";"";
"Paide";"1634";"1634";"P";"https://sok.riksarkivet.se/bildvisning/K0012776_00001";"riksarkivet.se=SE/KrA/0406/28/055/004 a";"Wittensteen.";"";"1634";
"Paide";"1683";"1683";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=284109";"isbn=9789949512096;ra.ee=EAA.5393.1.9 leht 1";"Deliniatio Geometrica öffwer Slottet och Staden Wittensteen";"Samuel Waxelberg";"1683";
"Paide";"1692";"1692";"P";"http://www.ester.ee/record=b2923516*est";"isbn=9789949512096";"Wittensteen";"";"1692";
"Paide";"1700";"1700";"P";"http://www.ester.ee/record=b2923516*est";"isbn=9789949512096";"Thopographisk eller Fält Carta aff Slåttet och Flecken Wittensten";"C. M. Stuart";"1700";
"Paide";"1739";"1739";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=21082";"ra.ee=EAA.854.4.115 leht 1";"Plan von der Creis-Stadt Weissenstein";"Johann Ludwig Gottsched, Salomon Severin Dobermann";"1739";
"Paide";"";"1748";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=16166";"EAA.854.4.119a leht 1";"[Plan der Stadt Weissenstein]";"";"";
"Paide";"1790";"1790";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=211739";"ra.ee=EAA.2072.2.41";"Charte von der Jurisdictions Grentze der Kreis-Stadt Weisenstein";"Gottfried Tobias Krafft";"1790";
"Paide";"1848";"1848";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=18243";"ra.ee=EAA.2072.2.44";"Геометрический план уезднаго города Вейсенштейна Эстляндской губернии";"Johann Heinrich Schmidt";"1848";
"Paide";"1871";"1871";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=100070";"isbn=9789949512096";"Karte der Kreis-Stadt Weisenstein im Kreise Jerwen";"J. H. Schmidt";"1871";
"Paide";"1901";"1901";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=103944";"ra.ee=ERA.T-6.3.744 leht 1";"Eestimaa ja Liivimaa kubermangud. 9-33 Järva ja Viljandi maakonnad. Эстляндская и Лифляндская губерния. 9-33 Вейсенштейнский и Феллинский уезд";"";"1901";
"Paide";"";"1907";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=101426";"";"";"";"";
"Paide";"1914";"1914";"P";"https://www.digar.ee/viewer/et/nlib-digar:357337";"isbn=978-9949-654-90-1";"VIc-19 [Paide] : Вейсеншт., Феллин. уезд. Эстлянд. и Лифлянд. губ.";"Корпус Военных Топографов";"1914";
"Paide";"1925";"1925";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=132096";"ra.ee=ERA.T-6.3.1613 leht 1";"Paide linna administratiivpiirkonna kavatsetava laiendamise plaan";"J. Enkelberg";"1925";
"Paide";"1925";"1927";"P";"https://www.digar.ee/arhiiv/nlib-digar:101554";"isbn=978-9949-26-610-4";"Paide linna plaan";"";"1927";
"Paide";"193X";"1935";"P";"https://www.digar.ee/viewer/et/nlib-digar:432983/370003/page/268";"isbn=9789916005651";"Paide";"Eesti Entsüklopeedia VI";"1935";
"Paide";"1939";"1938";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=100315";"ra.ee=ERA.T-6.3.37 leht 1";"Eesti kaart 1:50000, 510 Paide, Järva- ja Viljandimaa";"";"1938";
"Paide";"";"1939";"U";"https://www.digar.ee/viewer/et/nlib-digar:361123/314248/page/12";"isbn=978-9949-710-40-9";"Paide linna plaan";"";"";
"Paide";"1939";"1939";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=100114";"ra.ee=ERA.T-3.2.6";"Paide linna katastri üldplaan. Plaan 4 lehel.";"Arnold Lilienthal, Jaan Kääparin";"1939";
"Paide";"1951";"1950";"P";"https://fotoladu.maaamet.ee/arhiiv=196444";"ID=5598";"(Paide õhuvõte Maaameti fotolaost)";"Северо-западное предприятие ""Сельхозаэросьемка"" министерство сельского хозяйства СССР";"1950_5598";
"Paide";"1951";"1950";"P";"https://fotoladu.maaamet.ee/arhiiv=196491";"ID=5697";"(Paide õhuvõte Maaameti fotolaost)";"Северо-западное предприятие ""Сельхозаэросьемка"" министерство сельского хозяйства СССР";"1950_5697";
"Paide";"1951";"1951";"P";"https://fotoladu.maaamet.ee/arhiiv=196443";"ID=5597";"(Paide õhuvõte Maaameti fotolaost)";"Северо-западное предприятие ""Сельхозаэросьемка"" министерство сельского хозяйства СССР";"1951_5597";
"Paide";"1951";"1951";"P";"https://fotoladu.maaamet.ee/arhiiv=196445";"ID=5599";"(Paide õhuvõte Maaameti fotolaost)";"Северо-западное предприятие ""Сельхозаэросьемка"" министерство сельского хозяйства СССР";"1951_5599";
"Paide";"1951";"1951";"P";"https://fotoladu.maaamet.ee/arhiiv=196492";"ID=5698";"(Paide õhuvõte Maaameti fotolaost)";"Северо-западное предприятие ""Сельхозаэросьемка"" министерство сельского хозяйства СССР";"1951_5698";
"Paide";"1951";"1951";"P";"https://fotoladu.maaamet.ee/arhiiv=196493";"ID=5699";"(Paide õhuvõte Maaameti fotolaost)";"Северо-западное предприятие ""Сельхозаэросьемка"" министерство сельского хозяйства СССР";"1951_5699";
"Paide";"1951";"1951";"P";"https://fotoladu.maaamet.ee/arhiiv=196537";"ID=5797";"(Paide õhuvõte Maaameti fotolaost)";"Северо-западное предприятие ""Сельхозаэросьемка"" министерство сельского хозяйства СССР";"1951_5797";
"Paide";"1951";"1951";"P";"https://fotoladu.maaamet.ee/arhiiv=109546";"ID=T-1150-19/V-51";"(Paide õhuvõte Maaameti fotolaost)";"";"1951.E";
"Paide";"1951";"1951";"D";"https://fotoladu.maaamet.ee/arhiiv=109545";"";"(Paide õhuvõte Maaameti fotolaost)";"";"1951.Myndi";
"Paide";"1951";"1951";"P";"https://fotoladu.maaamet.ee/arhiiv=109543";"ID=T-1147-19/V-51";"(Valgma õhuvõte Maaameti fotolaost)";"";"1951.Valgma";
"Paide";"";"1956";"U";"https://www.ester.ee/record=b2647694*est";"";"Paide linna generaalplaan";"Estonprojekt";"";
"Paide";"1974";"1974";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=104582";"ra.ee=ERA.T-14.4-6.33835 leht 1";"Paide linna generaalplaan. Tugiplaan";"";"1974";
"Paldiski";"1783";"1783";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=229175";"ra.ee=LVVA.6828.4.526 leht 1";"Plan von der Creiss=Stadt Port=Baltique so wie er von mir Endes Unterschriebenen copiert worden. Reval am 18tes Dec ad 1783 S.S.Dobermann Gouvernements Landmesser";"Salomon Severin Dobermann";"1783";
"Paldiski";"1783";"1785";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=21141";"ra.ee=EAA.854.4.83 leht 1";"Geometrischer Plan von der Gegend um der Kreis Stadt Baltisport";"Friedrich August Hauff";"1785";
"Paldiski";"1860";"1854";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=32661";"ra.ee=EAA.79.2.5 leht 1";"Планъ берега Балтийскаго порта.";"";"1854";
"Paldiski";"1860";"1860";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=18248";"ra.ee=EAA.2072.2.31 leht 1";"Plan von der Kreis Stadt Baltisport";"Friedrich August Hauff, Johann Heinrich Schmidt";"1860";
"Paldiski";"1872";"1872";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=21136";"ra.ee=EAA.854.4.88 leht 1";"План существующаго расположения заштатнаго города Балтийский Порт Эстл. губ.";"Gabler";"1872";
"Paldiski";"1886";"1886";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=107093";"ra.ee=ERA.T-6.3.1617 leht 1";"Paldiski sadama plaan";"N. Sobolev";"1886";
"Paldiski";"";"1899";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=294190";"";"";"";"";
"Paldiski";"1899";"1899";"P";"";"";"";"";"1899";
"Paldiski";"18XX";"18XX";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=18250";"ra.ee=EAA.2072.2.32 leht 1";"Paldiski linnaplaan";"";"18XX";
"Paldiski";"";"1915";"U";"https://www.digar.ee/viewer/et/nlib-digar:356994/311168/page/1";"";"";"";"";
"Paldiski";"";"1918";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=102202";"";"";"";"";
"Paldiski";"1921";"1921";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=110184";"ra.ee=ERA.T-7.1.508 leht 1";"Väljavõte Paldiski linna ümbruse plaanist";"";"1921";
"Paldiski";"1925";"1925";"P";"http://www.digar.ee/id/nlib-digar:290992";"isbn=978-9949-598-03-8";"IV-25 Paldiski : [Harjumaa]";"(Eesti sõjaväe) topograafia jaoskond, E. Bach";"1925";
"Paldiski";"1932";"1929";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=107151";"ra.ee=ERA.T-6.3.1618 leht 1";"Paldiski linna evangeelse luteriusu koguduse matmispaiga ümbruse plaan";"A. Toom";"1929";
"Paldiski";"1932";"1932";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=107091";"ra.ee=ERA.T-6.3.1615 leht 1";"Paldiski linna administratiivpiirkonna laiendamise kava";"A. Toom";"1932";
"Paldiski";"1936";"1936";"P";"http://www.digar.ee/id/nlib-digar:301189";"isbn=978-9949-609-18-5";"Paldiski : Harjumaa 1936 a.";"Ants Koik, Eesti Kaitsevägi, Topo-Hüdrograafia Osakond";"1936";
"Paldiski";"1932";"193X";"P";"https://www.digar.ee/viewer/et/nlib-digar:432983/370003/page/281";"isbn=9789916005651";"Paldiski";"Eesti Entsüklopeedia VI";"193X";
"Paldiski";"1940";"1940";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=100116";"ra.ee=ERA.T-3.2.8 leht 1";"Paldiski linna katastri plaan 2 lehel, leht 1";"A. Toom";"1940";
"Paldiski";"1951";"1951";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=206125";"ra.ee=ERA.T-6.5.2 leht 7";"Eesti topograafiline kaart ENSV Ülemnõukogu Presiidiumi tehtud parandustega (1:100 000). Генеральный штаб советской армии 0-35-13 (Палдиски) Эстонская ССР Таллинская область";"Ž. Kožõreva";"1951";
"Paldiski";"1973";"1973";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=104463";"ra.ee=ERA.T-14.4-6.33869 leht 1";"Paldiski generaalplaan";"ГПИ ""Эстонпроект""";"1973";
"Paldiski";"1973";"1977";"P";"https://fotoladu.maaamet.ee/arhiiv=199479";"ID=С-59-22-В-г-3(310)";"(Paldiski õhuvõte Maaameti fotolaost)";"ГУГК при СМ СССР";"1977_310";
"Paldiski";"1973";"1977";"P";"https://fotoladu.maaamet.ee/arhiiv=199478";"ID=С-59-22-В-г-4(311)";"(Paldiski õhuvõte Maaameti fotolaost)";"ГУГК при СМ СССР";"1977_311";
"Parnu";"";"1634";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=284112";"";"";"";"";
"Parnu";"1634";"1634";"P";"http://www.ester.ee/record=b2923516*est";"isbn=9789949512096";"Pärnow";"";"1634";
"Parnu";"1640";"1640";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=229196";"ra.ee=LVVA.6828.4.549 leht 1";"Pernau nach Plänen von 1640 u. 1696";"";"1640";
"Parnu";"1681";"1681";"P";"http://www.ester.ee/record=b2923516*est";"isbn=9789949512096";"Designation der Newen Stadt Pernaw";"Paul von Essen";"1681";
"Parnu";"1681";"1686";"P";"http://www.ester.ee/record=b2923516*est";"isbn=9789949512096";"Charte von unten benannten Pernauschen Stads Patrimonial Ländereyen und Dörfen";"S. Swedmann";"1686";
"Parnu";"1696";"1696";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=229192";"ra.ee=LVVA.6828.4.544 leht 1";"Grund-Riss von der Stat Pernau mit deren Plätzen";"Essen";"1696";
"Parnu";"1700";"1700";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=229193";"ra.ee=LVVA.6828.4.545 leht 1";"Plan de la Ville et Forteressa de Pernau";"";"1700";
"Parnu";"1767";"1767";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=19192";"ra.ee=EAA.3724.5.1585";"Plan von diese Plätzen in der Worstadt zu Pernau";"";"1767";
"Parnu";"1800";"1800";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=21270";"ra.ee=EAA.2072.5.752 leht 1";"Braemersett Dorff";"";"1800";
"Parnu";"1800";"1804";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=1644";"ra.ee=EAA.1002.1.1825 leht 1";"Plan von der Kreis Stadt Pernau";"Lorenz Johann Bohm";"1804";
"Parnu";"1807";"1807";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=229197";"ra.ee=LVVA.6828.4.550 leht 1";"Geom: Charte von dem zu der Stadt Pernau gehörigen dorffe Bremerseite, nebst denen daran stossenden zu verzinzenden Grundplaetze";"Gottlieb Seck";"1807N";
"Parnu";"1807";"1807";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=235417";"ra.ee=LVVA.6828.4.551";"Specielle geometrische Charte von der Grösse und Bleschaffenheit des pernauschen Stadtsgebieths oder Weichbildes mit namentlicher Bezeichnung des angrenzenden Landbezirks";"C. Braesch";"1807EW";
"Parnu";"1830";"1830";"P";"http://www.ester.ee/record=b2923516*est";"isbn=9789949512096";"Die Stadt Pernau mit ihren Vestungswerken";"";"1830";
"Parnu";"1844";"1844";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=103679";"ra.ee=ERA.T-6.3.1641 leht 1";"Plan von der Kreisstadt Pernau";"Jonas Hawelin";"1844";
"Parnu";"1851";"1851";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=26005";"ra.ee=EAA.298.2.18 leht 1;isbn=9789949512096";"Charte von der Kreisstadt Pernau";"C. L. Braesch, Jonas Fowelin";"1851";
"Parnu";"1851";"1851";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=19200";"ra.ee=EAA.3724.5.1589 leht 1";"Charte von der Neuen Eintheilung des Dorfes Bremerseite.";"";"1851.N";
"Parnu";"1866";"1866";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=26109";"ra.ee=EAA.298.2.24 leht 2";"План на урегулирование части местности бывшей под крепостными верками г. Пернова Лифляндской губернии";"Меркулов";"1866";
"Parnu";"1866";"1866";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=26111";"ra.ee=EAA.298.2.23 leht 1";"Charte der Pernauscher Vorstadt Bremerseite.";"W. Peters";"1866.N";
"Parnu";"";"1867";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=229200";"LVVA.6828.4.552";"Plan der Kreisstadt Pernau";"";"";
"Parnu";"1889";"1889";"P";"http://www.ester.ee/record=b2923516*est";"isbn=9789949512096";"Plan der Stadt Pernau";"H. von Wollfeldt, R. Jacoby Verlag";"1889";
"Parnu";"1898";"1898";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=30527";"ra.ee=EAA.2110.1.4818 leht 1";"Plan der Stadt Pernau";"E. von Wolffeldt";"1898";
"Parnu";"1912";"1912";"P";"http://www.digar.ee/viewer/et/nlib-digar:46368";"isbn=9789949539581;nlib.ee= ARKT-01282";"Pharus-plan Pernau";"Bruno Ilves";"1912";
"Parnu";"1912";"1917";"P";"http://www.digar.ee/viewer/et/nlib-digar:357521";"isbn=978-9949-659-12-8";"IVc-17 [Pärnu] : Перновского уезда Лифляндской губ[ерний]";"Корпус Военных Топографов";"1917";
"Parnu";"";"1922";"U";"http://www.digar.ee/arhiiv/nlib-digar:294048";"ESTER=ARKT-02052";"Pärnu linna plaan = Plan der Stadt Pernau";"Juhkental & Co";"";
"Parnu";"1925";"1925";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=209378";"ra.ee=ERA.496.4.222 leht 2";"Pärnu linna plaan (kaitsekava)";"Th. Thomberg";"1925";
"Parnu";"";"1935";"U";"https://www.digar.ee/viewer/et/nlib-digar:432983/370003/page/674";"ESTER=EA 47.769";"Pärnu 1:25 000";"Eesti Entsüklopeedia.6, Muther-Rakitse, lk.1239-1240 ";"";
"Parnu";"1938";"1936";"P";"https://www.digar.ee/viewer/et/nlib-digar:301264";"isbn=978-9949-609-50-5;ESTER=b16088864";"Pärnu : Pärnumaa 1936 a.";"Ernst Zobel, Härm Sigur, Eesti Kaitsevägi, Topo-hüdrograafia osakond";"1936";
"Parnu";"1938";"1938";"P";"http://www.digar.ee/viewer/et/nlib-digar:43992";"isbn=9789949539604;nlib.ee=ARKT-01733";"Pärnu linna plaan";"";"1938";
"Parnu";"1942";"1942";"D";"http://www.ra.ee/kaardid/index.php/et/map/view?id=218115";"ra.ee=EAA.2072.9.809 leht 1";"Pärnu 1940. a.";"H. Paas, R. Raie";"1942";
"Parnu";"1944";"1944";"P";"ftp://anonymous:x@jccalvin.ddns.net/Target%20Dossiers/Target%20Russia/Target%20Dossiers%20By%20City/City%20Names%20P/City%20Names%20PENS-PERN/Pernau%20Estonia%20%20004.tif";"ID=10667";"Pernau";"Stabsbildabteilung Lfl. Kdo. 1";"1944_67";
"Parnu";"1944";"1944";"P";"ftp://anonymous:x@jccalvin.ddns.net/Target%20Dossiers/Target%20Russia/Target%20Dossiers%20By%20City/City%20Names%20P/City%20Names%20PENS-PERN/Pernau%20Estonia%20%20006.tif";"ID=10670";"Pernau";"Stabsbildabteilung Lfl. Kdo. 1 b. F.A.G.1";"1944_70";
"Parnu";"1944";"1944";"P";"ftp://anonymous:x@jccalvin.ddns.net/Target%20Dossiers/Target%20Russia/Target%20Dossiers%20By%20City/City%20Names%20P/City%20Names%20PENS-PERN/Pernau%20Estonia%20%20007.tif";"ID=10671";"Pernau Flugplatz";"Stabsbildabteilung Lfl. 1";"1944_71";
"Parnu";"1944";"1944";"P";"ftp://anonymous:x@jccalvin.ddns.net/Target%20Dossiers/Target%20Russia/Target%20Dossiers%20By%20City/City%20Names%20P/City%20Names%20PENS-PERN/Pernau%20Estonia%20%20008.tif";"ID=10672";"Pernau";"";"1944_72";
"Parnu";"1951";"1949";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=305605";"ra.ee=EAM.3.1.479 leht 1";"Pärnu linna planeerimise ja hoonestamise projekt (tugiplaan).";"Anton Soans, M. Redlich, A. Kumari";"1949";
"Parnu";"1942";"1949";"D";"http://www.ra.ee/kaardid/index.php/et/map/view?id=206356";"ra.ee=ERA.T-6.5.1 leht 65";"Генеральный штаб вооруженных сил союза ССР 0-35-50-B (Пярну) Эстонская ССР";"Pavlova, Andrejeva, Bogdanova";"1949";
"Parnu";"1944";"1949";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=206356";"ra.ee=ERA.T-6.5.1 leht 65";"Генеральный штаб вооруженных сил союза ССР 0-35-50-B (Пярну) Эстонская ССР";"Pavlova, Andrejeva, Bogdanova";"1949";
"Parnu";"1951";"1951";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=206163";"ra.ee=ERA.T-6.5.2 leht 45";"Eesti topograafiline kaart ENSV Ülemnõukogu Presiidiumi tehtud parandustega (1:100 000). Генеральный штаб советской армии 0-35-49 (Лавассаре) Эстонская ССР Пярнуская область";"T. Vlasova";"1951.W";
"Parnu";"1951";"1951";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=206164";"ra.ee=ERA.T-6.5.2 leht 46";"Eesti topograafiline kaart ENSV Ülemnõukogu Presiidiumi tehtud parandustega (1:100 000). Генеральный штаб советской армии 0-35-50 (Пярну) Эстонская ССР Пярнуская область";"A. Fulerinova";"1951.E";
"Parnu";"1967";"1960";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=203839";"ra.ee=ERA.T-6.5.53 leht 3";"Eesti NSV Pärnu linna piirkonna põllumajanduslik kaart";"";"1960";
"Parnu";"1967";"1964";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=276381";"ra.ee=ERA.R-1.31.7 leht 25";"Pärnu linna plaan";"";"1964";
"Parnu";"1967";"1967";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=284966";"ra.ee=EAA.5238.1.885 leht 25";"[Топогрфическая карта Эстонии] С-56-23-В-в";"";"1967";
"Parnu";"1977";"1977";"P";"http://www.digar.ee/viewer/et/nlib-digar:289413";"isbn=978-9949-564-88-0;ESTER=b24860529";"Пярну (O-35-49, 50) : Эстонская ССР";"СССР. Главное управление геодезии и картографии. Военно-топографическое Управление Генерального штаба.";"1977";
"Parnu";"197X";"197X";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=229587";"ra.ee=EAA.2072.9.835 leht 1 foolio 1";"Pärnu linna maakasutuse plaan";"RPI Eesti Põllumajandusprojekt";"197X.W";
"Parnu";"197X";"197X";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=276245";"ra.ee=EAA.2072.9.835 leht 2 foolio 2";"Pärnu linna maakasutuse plaan";"RPI Eesti Põllumajandusprojekt";"197X.E";
